pt;y;cent;chi2;fitStat;doIterativeFit;model_tauzRes;sigma0_tauzRes;sigma1_tauzRes;sigma2_tauzRes;fGaus0_tauzRes;fGaus1_tauzRes;modelNpr_tauzSig;modelNpr_tauzBkg;lambdaDssNpr_tauzSig;
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0002,0.0001,0.0003];[0.001,0.0005,0.002];[0.004,0.001,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0005,0.002,0.01];[0.002,0.005,0.02];[0.01,0.03,0.08];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.0002,0.001,0.01];[0.003,0.01,0.06];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0003,0.003,0.02];[0.001,0.003,0.01];[0.005,0.02,0.08];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.001,0.005,0.04];[0.0005,0.002,0.015];[0.003,0.015,0.08];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0001,0.001,0.01];[0.0003,0.003,0.02];[0.002,0.01,0.05];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0007,0.002,0.015];[0.001,0.004,0.025];[0.005,0.015,0.07];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0015,0.006,0.05];[0.0005,0.002,0.01];[0.005,0.02,0.09];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0004,0.0015,0.008];[0.002,0.006,0.03];[0.008,0.025,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.002,0.008,0.06];[0.0002,0.001,0.005];[0.002,0.01,0.05];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0002,0.003,0.03];[0.005,0.01,0.02];[0.01,0.03,0.06];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.001,0.002,0.02];[0.01,0.005,0.001];[0.02,0.01,0.005];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0005,0.005,0.05];[0.001,0.02,0.05];[0.003,0.01,0.03];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0008,0.004,0.025];[0.05,0.02,0.01];[0.01,0.02,0.05];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0003,0.001,0.04];[0.7,0.2,0.05];[0.01,0.05,0.2];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.001,0.004,0.03];[0.05,0.7,0.2];[0.1,0.2,0.4];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0005,0.003,0.02];[0.8,0.1,0.05];[0.02,0.08,0.2];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0002,0.005,0.05];[0.1,0.8,0.05];[0.05,0.1,0.3];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0015,0.003,0.015];[0.6,0.3,0.05];[0.02,0.1,0.2];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0001,0.002,0.06];[0.05,0.05,0.8];[0.01,0.05,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.86,0.13,0.01];[0.01,0.05,0.15];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.5,0.4,0.05];[0.01,0.05,0.2];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.95,0.03,0.01];[0.005,0.02,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.2,0.7,0.05];[0.01,0.1,0.3];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0009,0.0045,0.03];[0.7,0.05,0.2];[0.02,0.05,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0003,0.01,0.08];[0.9,0.05,0.01];[0.01,0.03,0.1];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.002,0.01,0.1];[0.05,0.9,0.02];[0.005,0.02,0.05];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0001,0.0005,0.005];[0.33,0.33,0.33];[0.01,0.05,0.2];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.003,0.015,0.08];[0.33,0.33,0.33];[0.02,0.1,0.3];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
0-1;2.5-3.6;0-100;0-25;todo;false;Gauss3;[0.0002,0.01,0.1];[0.98,0.01,0.005];[0.005,0.01,0.05];;;SingleSidedDecay;TripleDecay;[0.00157,0.00157,0.00157];
